"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 18 16:23:32 ICT 2024","Tue Jun 18 16:23:36 ICT 2024","3670","test","tests\workflows.spec.ts","End-to-End Workflow Tests","","","Fail to log in, attempt to retrieve user details (should fail), and handle unauthorized responses",""
"passed","Tue Jun 18 16:23:26 ICT 2024","Tue Jun 18 16:23:27 ICT 2024","1340","test","tests\login.spec.ts","Login Endpoint Tests","","","Successful login",""
"passed","Tue Jun 18 16:23:26 ICT 2024","Tue Jun 18 16:23:38 ICT 2024","11543","test","tests\updateUser.spec.ts","UPDATE User Endpoint Tests","","","Update Existing User",""
"passed","Tue Jun 18 16:23:26 ICT 2024","Tue Jun 18 16:23:28 ICT 2024","2340","test","tests\deleteUser.spec.ts","DELETE User Endpoint Tests","","","Delete Existing User",""
"passed","Tue Jun 18 16:23:28 ICT 2024","Tue Jun 18 16:23:29 ICT 2024","1073","test","tests\deleteUser.spec.ts","DELETE User Endpoint Tests","","","Attempt to delete non-existing user",""
"passed","Tue Jun 18 16:23:29 ICT 2024","Tue Jun 18 16:23:29 ICT 2024","190","test","tests\getUser.spec.ts","GET User Endpoint Tests","","","Attempt to retrieve user details without authentication",""
"passed","Tue Jun 18 16:23:26 ICT 2024","Tue Jun 18 16:23:27 ICT 2024","1324","test","tests\getUser.spec.ts","GET User Endpoint Tests","","","Retrieve valid user",""
"passed","Tue Jun 18 16:23:27 ICT 2024","Tue Jun 18 16:23:29 ICT 2024","1125","test","tests\getUser.spec.ts","GET User Endpoint Tests","","","Attempt to retrieve non-existing user",""
"passed","Tue Jun 18 16:23:27 ICT 2024","Tue Jun 18 16:23:33 ICT 2024","5640","test","tests\login.spec.ts","Login Endpoint Tests","","","Unsuccessful login with invalid credentials",""
"passed","Tue Jun 18 16:23:33 ICT 2024","Tue Jun 18 16:23:45 ICT 2024","12020","test","tests\login.spec.ts","Login Endpoint Tests","","","Unsuccessful login with missing fields",""
"passed","Tue Jun 18 16:23:29 ICT 2024","Tue Jun 18 16:23:32 ICT 2024","3169","test","tests\workflows.spec.ts","End-to-End Workflow Tests","","","Successfully log in, retrieve user details, update the user, and then delete the user",""
"passed","Tue Jun 18 16:23:39 ICT 2024","Tue Jun 18 16:23:51 ICT 2024","12122","test","tests\updateUser.spec.ts","UPDATE User Endpoint Tests","","","Attempt to Update user details without authentication",""
"passed","Tue Jun 18 16:23:29 ICT 2024","Tue Jun 18 16:23:31 ICT 2024","1210","test","tests\deleteUser.spec.ts","DELETE User Endpoint Tests","","","Attempt to delete user details without authentication",""
"passed","Tue Jun 18 16:23:38 ICT 2024","Tue Jun 18 16:23:39 ICT 2024","1144","test","tests\updateUser.spec.ts","UPDATE User Endpoint Tests","","","Attempt to update non-existing user",""
